clump,Number of Adult Female Seals,Number of Baby Seals,Number of Adult Male Seals,Total Number of Seals
LS21323_DJI_0014_clump_0005,1,1,0,2
LS21323_DJI_0014_clump_0006,1,1,0,2
LS21323_DJI_0014_clump_0007,1,1,0,2
LS21323_DJI_0014_clump_0008,2,1,0,3
LS21323_DJI_0014_clump_0009,3,3,0,6
LS21323_DJI_0014_clump_0010,1,1,0,2
LS21323_DJI_0014_clump_0011,1,1,0,2
LS21323_DJI_0014_clump_0012,3,2,0,5
LS21323_DJI_0014_clump_0013,1,1,0,2
LS21323_DJI_0014_clump_0014,0,2,0,2
LS21323_DJI_0014_clump_0015,1,1,0,2
LS21323_DJI_0014_clump_0016,3,3,0,6
LS21323_DJI_0014_clump_0017,1,2,0,3
LS21323_DJI_0014_clump_0018,1,1,0,2
LS21323_DJI_0014_clump_0019,1,1,0,2
LS21323_DJI_0014_clump_0020,3,1,0,4
LS21323_DJI_0014_clump_0021,1,1,0,2
LS21323_DJI_0014_clump_0022,1,1,0,2
LS21323_DJI_0014_clump_0023,2,1,0,3
LS21323_DJI_0014_clump_0024,1,1,0,2
LS21323_DJI_0014_clump_0025,1,1,0,2
LS21323_DJI_0014_clump_0026,0,2,0,2
LS21323_DJI_0014_clump_0027,1,1,0,2
LS21323_DJI_0014_clump_0028,3,3,0,6
LS21323_DJI_0014_clump_0029,1,1,0,2
LS21323_DJI_0014_clump_0030,1,0,0,1
LS21323_DJI_0014_clump_0031,1,1,0,2
LS21323_DJI_0015_clump_0001,2,2,0,4
LS21323_DJI_0015_clump_0002,2,3,0,5
LS21323_DJI_0015_clump_0003,1,1,0,2
LS21323_DJI_0015_clump_0004,1,3,0,4
LS21323_DJI_0015_clump_0005,1,1,0,2
LS21323_DJI_0015_clump_0006,1,1,0,2
LS21323_DJI_0015_clump_0007,1,1,0,2
LS21323_DJI_0015_clump_0008,1,1,0,2
LS21323_DJI_0015_clump_0009,2,2,0,4
LS21323_DJI_0015_clump_0010,1,1,0,2
LS21323_DJI_0015_clump_0011,1,1,0,2
LS21323_DJI_0015_clump_0012,1,1,0,2
LS21323_DJI_0015_clump_0013,1,1,0,2
LS21323_DJI_0015_clump_0014,3,3,0,6
LS21323_DJI_0015_clump_0015,2,2,0,4
LS21323_DJI_0015_clump_0016,2,1,0,3
LS21323_DJI_0015_clump_0017,1,1,0,2
LS21323_DJI_0015_clump_0018,1,1,0,2
LS21323_DJI_0015_clump_0019,5,6,0,11
LS21323_DJI_0015_clump_0020,0,2,0,2
LS21323_DJI_0015_clump_0021,1,1,0,2
LS21323_DJI_0015_clump_0022,1,1,0,2
LS21323_DJI_0015_clump_0023,1,1,0,2
LS21323_DJI_0015_clump_0024,1,1,0,2
LS21323_DJI_0015_clump_0025,1,1,0,2
LS21323_DJI_0015_clump_0026,0,2,0,2
LS21323_DJI_0015_clump_0027,2,2,0,4
LS21323_DJI_0015_clump_0028,1,2,0,3
LS21323_DJI_0015_clump_0029,1,1,0,2
LS21323_DJI_0015_clump_0030,0,4,0,4
LS21323_DJI_0015_clump_0031,1,1,0,2
LS21323_DJI_0016_clump_0001,0,5,0,5
LS21323_DJI_0016_clump_0002,0,3,0,3
LS21323_DJI_0017_clump_0001,0,5,0,5
LS21323_DJI_0017_clump_0002,0,4,0,4
LS21323_DJI_0017_clump_0003,0,2,0,2
LS21323_DJI_0018_clump_0001,0,3,0,3
LS21323_DJI_0018_clump_0002,0,2,0,2
LS21323_DJI_0019_clump_0001,0,2,0,2
LS21323_DJI_0019_clump_0002,0,2,0,2
LS21323_DJI_0019_clump_0003,0,2,0,2
LS21323_DJI_0019_clump_0004,0,0,0,0
LS21323_DJI_0020_clump_0001,0,2,0,2
LS21323_DJI_0020_clump_0002,0,0,0,0
LS21323_DJI_0020_clump_0003,0,2,0,2
LS21323_DJI_0021_clump_0001,0,2,0,2
LS21323_DJI_0021_clump_0002,0,2,0,2
LS21323_DJI_0021_clump_0003,0,5,0,5
LS21323_DJI_0022_clump_0001,0,2,0,2
LS21323_DJI_0834_clump_0001,0,1,1,2
LS21323_DJI_0834_clump_0002,2,2,0,4
LS21323_DJI_0834_clump_0003,2,2,0,4
LS21323_DJI_0834_clump_0004,2,3,0,5
LS21323_DJI_0834_clump_0005,1,1,0,2
LS21323_DJI_0834_clump_0006,2,2,0,4
LS21323_DJI_0834_clump_0007,1,1,0,2
LS21323_DJI_0834_clump_0008,1,1,0,2
LS21323_DJI_0834_clump_0009,2,1,0,3
LS21323_DJI_0834_clump_0010,1,1,0,2
LS21323_DJI_0834_clump_0011,1,1,0,2
LS21323_DJI_0834_clump_0012,2,2,0,4
LS21323_DJI_0834_clump_0013,0,3,0,3
LS21323_DJI_0834_clump_0014,1,1,0,2
LS21323_DJI_0834_clump_0015,2,1,0,3
LS21323_DJI_0834_clump_0016,2,1,0,3
LS21323_DJI_0834_clump_0017,1,1,0,2
LS21323_DJI_0834_clump_0018,1,1,0,2
LS21323_DJI_0834_clump_0019,1,2,0,3
LS21323_DJI_0834_clump_0020,1,1,0,2
LS21323_DJI_0834_clump_0021,,,,
LS21323_DJI_0834_clump_0022,,,,
LS21323_DJI_0835_clump_0001,2,1,0,3
LS21323_DJI_0835_clump_0002,1,1,0,2
LS21323_DJI_0835_clump_0003,0,1,1,2
LS21323_DJI_0835_clump_0004,2,1,0,3
LS21323_DJI_0835_clump_0005,2,1,0,3
LS21323_DJI_0835_clump_0006,2,2,0,4
LS21323_DJI_0835_clump_0007,2,2,0,4
LS21323_DJI_0835_clump_0008,1,1,0,2
LS21323_DJI_0835_clump_0009,1,2,0,3
LS21323_DJI_0835_clump_0010,1,1,0,2
LS21323_DJI_0835_clump_0011,1,1,0,2
LS21323_DJI_0835_clump_0012,1,1,0,2
LS21323_DJI_0835_clump_0013,1,1,0,2
LS21323_DJI_0835_clump_0014,2,2,0,4
LS21323_DJI_0835_clump_0015,1,1,0,2
LS21323_DJI_0835_clump_0016,1,2,0,3
LS21323_DJI_0835_clump_0017,1,1,0,2
LS21323_DJI_0835_clump_0018,1,1,0,2
LS21323_DJI_0835_clump_0019,1,1,0,2
LS21323_DJI_0835_clump_0020,,,,
LS21323_DJI_0835_clump_0021,1,1,0,2
LS21323_DJI_0835_clump_0022,1,1,0,2
LS21323_DJI_0835_clump_0023,1,1,0,2
LS21323_DJI_0835_clump_0024,1,1,0,2
LS21323_DJI_0836_clump_0001,1,1,0,2
LS21323_DJI_0836_clump_0002,2,1,0,3
LS21323_DJI_0836_clump_0003,,,,
LS21323_DJI_0836_clump_0004,0,1,1,2
LS21323_DJI_0836_clump_0005,1,1,0,2
LS21323_DJI_0836_clump_0006,1,1,0,2
LS21323_DJI_0836_clump_0007,2,1,0,3
LS21323_DJI_0836_clump_0008,1,1,0,2
LS21323_DJI_0836_clump_0009,1,2,0,3
LS21323_DJI_0836_clump_0010,1,1,0,2
LS21323_DJI_0836_clump_0011,1,1,0,2
LS21323_DJI_0836_clump_0012,1,1,0,2
LS21323_DJI_0836_clump_0013,1,0,0,1
LS21323_DJI_0836_clump_0014,1,1,0,2
LS21323_DJI_0837_clump_0001,2,1,0,3
LS21323_DJI_0837_clump_0002,1,1,0,2
LS21323_DJI_0837_clump_0003,1,1,0,2
LS21323_DJI_0837_clump_0004,2,1,0,3
LS21323_DJI_0837_clump_0005,1,2,0,3
LS21323_DJI_0837_clump_0006,0,1,1,2
LS21323_DJI_0837_clump_0007,1,1,0,2
LS21323_DJI_0837_clump_0008,4,1,0,5
LS21323_DJI_0837_clump_0009,0,3,0,3
LS21323_DJI_0837_clump_0010,1,1,0,2
LS21323_DJI_0837_clump_0011,3,2,0,5
LS21323_DJI_0837_clump_0012,3,2,0,5
LS21323_DJI_0837_clump_0013,1,2,0,3
LS21323_DJI_0837_clump_0014,2,1,0,3
LS21323_DJI_0837_clump_0015,1,1,0,2
LS21323_DJI_0837_clump_0016,1,1,0,2
LS21323_DJI_0837_clump_0017,1,1,0,2
LS21323_DJI_0837_clump_0018,1,1,0,2
LS21323_DJI_0837_clump_0019,1,1,0,2
LS21323_DJI_0837_clump_0020,1,1,0,2
LS21323_DJI_0837_clump_0021,1,1,0,2
LS21323_DJI_0837_clump_0022,2,3,0,5
LS21323_DJI_0837_clump_0023,2,3,0,5
LS21323_DJI_0837_clump_0024,1,2,0,3
LS21323_DJI_0837_clump_0025,1,1,0,2
LS21323_DJI_0837_clump_0026,0,3,0,3
LS21323_DJI_0837_clump_0027,1,1,0,2
LS21323_DJI_0837_clump_0028,1,1,0,2
LS21323_DJI_0837_clump_0029,1,1,0,2
LS21323_DJI_0837_clump_0030,1,0,0,1
LS21323_DJI_0837_clump_0031,1,1,0,2
LS21323_DJI_0837_clump_0032,1,0,0,1
LS21323_DJI_0837_clump_0033,1,1,0,2
LS21323_DJI_0838_clump_0001,1,1,0,2
LS21323_DJI_0838_clump_0002,2,1,0,3
LS21323_DJI_0838_clump_0003,0,3,0,3
LS21323_DJI_0838_clump_0004,1,1,0,2
LS21323_DJI_0838_clump_0005,2,2,0,4
LS21323_DJI_0838_clump_0006,1,1,0,2
LS21323_DJI_0838_clump_0007,1,2,0,3
LS21323_DJI_0838_clump_0008,3,3,0,6
LS21323_DJI_0838_clump_0009,1,1,0,2
LS21323_DJI_0838_clump_0010,1,1,0,2
LS21323_DJI_0838_clump_0011,1,1,0,2
LS21323_DJI_0838_clump_0012,2,3,0,5
LS21323_DJI_0838_clump_0013,2,2,0,4
LS21323_DJI_0838_clump_0014,1,1,0,2
LS21323_DJI_0838_clump_0015,1,1,0,2
LS21323_DJI_0838_clump_0016,2,1,0,3
LS21323_DJI_0838_clump_0017,1,1,0,2
LS21323_DJI_0838_clump_0018,0,1,1,2
LS21323_DJI_0838_clump_0019,2,1,0,3
LS21323_DJI_0838_clump_0020,1,1,0,2
LS21323_DJI_0838_clump_0021,1,1,0,2
LS21323_DJI_0838_clump_0022,2,1,0,3
LS21323_DJI_0838_clump_0023,0,0,1,1
LS21323_DJI_0838_clump_0024,4,2,0,6
LS21323_DJI_0838_clump_0025,1,1,0,2
LS21323_DJI_0838_clump_0026,2,2,0,4
LS21323_DJI_0838_clump_0027,1,0,0,1
LS21323_DJI_0838_clump_0028,1,1,0,2
LS21323_DJI_0838_clump_0029,1,1,0,2
LS21323_DJI_0838_clump_0030,1,1,0,2
LS21323_DJI_0839_clump_0001,1,1,0,2
LS21323_DJI_0839_clump_0002,0,3,0,3
LS21323_DJI_0839_clump_0003,2,2,0,4
LS21323_DJI_0839_clump_0004,1,1,0,2
LS21323_DJI_0839_clump_0005,1,1,0,2
LS21323_DJI_0839_clump_0006,1,1,0,2
LS21323_DJI_0839_clump_0007,2,1,0,3
LS21323_DJI_0839_clump_0008,1,2,0,3
LS21323_DJI_0839_clump_0009,2,2,0,4
LS21323_DJI_0839_clump_0010,1,1,0,2
LS21323_DJI_0839_clump_0011,2,1,0,3
LS21323_DJI_0839_clump_0012,1,1,0,2
LS21323_DJI_0839_clump_0013,1,1,0,2
LS21323_DJI_0839_clump_0014,1,1,0,2
LS21323_DJI_0839_clump_0015,1,1,0,2
LS21323_DJI_0839_clump_0016,1,0,0,1
LS21323_DJI_0839_clump_0017,1,1,0,2
LS21323_DJI_0840_clump_0001,2,1,0,3
LS21323_DJI_0840_clump_0002,2,2,0,4
LS21323_DJI_0840_clump_0003,1,2,0,3
LS21323_DJI_0840_clump_0004,1,1,0,2
LS21323_DJI_0840_clump_0005,2,2,0,4
LS21323_DJI_0840_clump_0006,1,1,0,2
LS21323_DJI_0840_clump_0007,1,1,0,2
LS21323_DJI_0840_clump_0008,1,1,0,2
LS21323_DJI_0841_clump_0001,2,1,0,3
LS21323_DJI_0841_clump_0002,1,1,0,2
LS21323_DJI_0841_clump_0003,2,1,0,3
LS21323_DJI_0841_clump_0004,1,1,0,2
LS21323_DJI_0841_clump_0005,2,2,0,4
LS21323_DJI_0841_clump_0006,1,1,0,2
